Title,Link
抖音发布平台规范：发布者应对人工智能生成内容作显著标识并对相应后果负责,http://tech.hexun.com/2023-05-09/208538102.html
领英将逐步淘汰其中国APP领英职场 裁员716人,http://tech.hexun.com/2023-05-09/208537015.html
上线不到半年 “领英职场”宣布8月9日停止服务,http://tech.hexun.com/2023-05-09/208537275.html
领英职场App将于8月9日起正式停服716名员工岗位被裁撤,http://tech.hexun.com/2023-05-09/208539362.html
谷歌AI大动作来了！最新大语言模型、升级版Bard，还有……,http://tech.hexun.com/2023-05-09/208538134.html
生成式AI对“打工人”影响几何？500强公司真实案例来了,http://tech.hexun.com/2023-05-09/208532007.html
OpenAI再获百亿融资 估值近300亿美元 红杉资本、PayPal创始人旗下基金等知名风投参投,http://tech.hexun.com/2023-05-09/208532046.html
每经热评丨群雄竞逐国产大模型 后来者更要“想清楚”,http://tech.hexun.com/2023-05-09/208532016.html
IBM将停聘被AI取代的职位 涉及近8000个岗位,http://tech.hexun.com/2023-05-09/208532017.html
盖茨再次力挺AI：具有革命性 在所有行业都有巨大的潜力,http://tech.hexun.com/2023-05-09/208531902.html
李彦宏下场做手机：靠音箱起家的小度，有百度撑腰，打得过华为、小米？,http://tech.hexun.com/2023-05-09/208532347.html
网络安全专用产品管理新规7月起施行,http://tech.hexun.com/2023-05-09/208531890.html
12家科技企业ESG观察，谁领先，谁落后？,http://tech.hexun.com/2023-05-09/208532346.html
大模型不是吹出来的,http://tech.hexun.com/2023-05-08/208532078.html
网信部门工作组进驻！斗鱼平台涉嫌“擦边”，股价崩了,http://tech.hexun.com/2023-05-08/208533525.html
全球首创！木质晶体管横空出世 硅基计算霸主地位受威胁,http://tech.hexun.com/2023-05-08/208527329.html
周鸿祎谈大模型扎堆：上来就说能超越才是吹牛,http://tech.hexun.com/2023-05-08/208526129.html
明年初赴港IPO募资20亿美元？菜鸟：不对市场传言做评论,http://tech.hexun.com/2023-05-08/208524273.html
菜鸟回应赴港IPO传闻：不对市场传言发表评论,http://tech.hexun.com/2023-05-08/208524260.html
一机传三代！年轻人换机周期最高拉长到3年：华为等成首选,http://tech.hexun.com/2023-05-08/208521385.html
深度学习之父：不该对AI感到担忧 进步将不会停止,http://tech.hexun.com/2023-05-08/208519652.html
拜登真要动手？中国AI领域或面临美国全面投资禁令！影响如何？,http://tech.hexun.com/2023-05-08/208517038.html
小红书试水餐饮团购，欲从美团、抖快“虎口夺食”,http://tech.hexun.com/2023-05-08/208518504.html
白宫与头部AI公司举行会议，Meta扎克伯格未收到邀请,http://tech.hexun.com/2023-05-08/208523316.html
总部从中国迁至爱尔兰？拼多多：严重失实，总部始终在中国,http://tech.hexun.com/2023-05-04/208488309.html
微软首席科学官反驳马斯克：AI开发应加速而非“踩刹车”,http://tech.hexun.com/2023-05-04/208487141.html
微软首席经济学家警告：人工智能一旦落入坏人之手 将造成真正的破坏,http://tech.hexun.com/2023-05-04/208487116.html
逆势稳增后，“头雁”科沃斯将飞向哪里,http://stock.hexun.com/2023-05-01/208468770.html
5月新规来了！官方出手整治互联网弹出广告：确保一键关闭,http://tech.hexun.com/2023-05-01/208468456.html
七国集团部长同意对人工智能采取“基于风险”的监管,http://tech.hexun.com/2023-04-30/208467317.html
